angle_degrees,coupling_cosine,metric,n,mean,ci_low,ci_high
0,1,abs_psi_update,80,0.863080610202,0.854261958324,0.871976103694
0,1,kappa_obs,80,-0.359616920917,-0.363181616856,-0.355954151086
0,1,r_shuffle,80,6.45075938652,6.30946287851,6.59423629587
0,1,srrd_vs_flat_rnn_4x,80,1.0507860825,1.04336514025,1.05863316182
15,0.965925826289,abs_psi_update,80,0.833680099218,0.824489359669,0.8423378414
15,0.965925826289,kappa_obs,80,-0.347366708008,-0.350993174257,-0.343587055147
15,0.965925826289,r_shuffle,80,6.08904086441,5.96672993327,6.20714888112
15,0.965925826289,srrd_vs_flat_rnn_4x,80,1.05069718078,1.04359058978,1.05887977108
30,0.866025403784,abs_psi_update,80,0.747482162504,0.73860951113,0.756580887822
30,0.866025403784,kappa_obs,80,-0.311450901044,-0.315180772976,-0.307715855922
30,0.866025403784,r_shuffle,80,5.1031878532,4.98740722496,5.2348237631
30,0.866025403784,srrd_vs_flat_rnn_4x,80,1.05045558343,1.04316804204,1.05803477573
45,0.707106781187,abs_psi_update,80,0.610361046999,0.601430134931,0.619630503137
45,0.707106781187,kappa_obs,80,-0.254317102916,-0.257968167514,-0.250409166803
45,0.707106781187,r_shuffle,80,3.77532016295,3.70399829366,3.84822514552
45,0.707106781187,srrd_vs_flat_rnn_4x,80,1.05012983474,1.0428231203,1.05786400577
60,0.5,abs_psi_update,80,0.43166133012,0.422674689367,0.440044650963
60,0.5,kappa_obs,80,-0.17985888755,-0.183522629487,-0.17617107096
60,0.5,r_shuffle,80,2.35994702674,2.32236366915,2.39985779568
60,0.5,srrd_vs_flat_rnn_4x,80,1.04981336201,1.04248017231,1.05768384717
75,0.258819045103,abs_psi_update,80,0.223561102257,0.214763720886,0.232239041876
75,0.258819045103,kappa_obs,80,-0.0931504592737,-0.0968244100521,-0.089512310715
75,0.258819045103,r_shuffle,80,1.35833179863,1.34150870655,1.37636690438
75,0.258819045103,srrd_vs_flat_rnn_4x,80,1.04959906073,1.04220260255,1.05702706577
90,6.12323399574e-17,abs_psi_update,80,0.0328045984345,0.0279158863043,0.0378617267941
90,6.12323399574e-17,kappa_obs,80,-0.000100854182282,-0.00371075878764,0.00353205530593
90,6.12323399574e-17,r_shuffle,80,1.01138934224,1.00822077773,1.01481845971
90,6.12323399574e-17,srrd_vs_flat_rnn_4x,80,1.04955381731,1.04195720795,1.05730966455
