scenario,scenario_label,expected_role,metric,n,mean,ci_low,ci_high
order_invariant_memory,Order-invariant memory,negative_control,loss_strongest_baseline,200,0.497554628661,0.495745553537,0.499367376236
order_invariant_memory,Order-invariant memory,negative_control,loss_flat_rnn_4x,200,0.515382046269,0.513387178896,0.51736257599
order_invariant_memory,Order-invariant memory,negative_control,r_ood,200,1.09014708248,1.08502406758,1.09520903454
order_invariant_memory,Order-invariant memory,negative_control,r_shuffle,200,1.01203526234,1.01020828969,1.01383711869
order_invariant_memory,Order-invariant memory,negative_control,r_frozen,200,0.999573743745,0.998249601376,1.0009373844
order_invariant_memory,Order-invariant memory,negative_control,srrd_vs_flat_rnn_4x,200,1.05252153367,1.04751118664,1.05777287467
order_invariant_memory,Order-invariant memory,negative_control,psi_update,200,-0.000840248688676,-0.00682610048512,0.00514801845662
order_invariant_memory,Order-invariant memory,negative_control,abs_psi_update,200,0.035042868876,0.0314257010474,0.0387571277907
order_invariant_memory,Order-invariant memory,negative_control,kappa_obs,200,-0.000350103620282,-0.00287915748321,0.00238226656212
order_invariant_memory,Order-invariant memory,negative_control,history_effect_sham,200,0.000488098109641,-0.0038585092214,0.00489562874328
order_invariant_memory,Order-invariant memory,negative_control,history_effect_probe,200,-0.000352150579034,-0.00476021558821,0.00408724240782
order_invariant_memory,Order-invariant memory,negative_control,state_max_smd,200,0.0107634351582,0.0101801096254,0.0113540150015
order_invariant_memory,Order-invariant memory,negative_control,state_energy_distance,200,0.00313328102048,0.00310223464628,0.00316503125876
order_invariant_memory,Order-invariant memory,negative_control,state_permutation_reject,200,0.08,0.045,0.12
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,loss_srrd_bilevel,400,0.828076734173,0.815718510951,0.840241837029
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,loss_strongest_baseline,400,0.755389230757,0.746258618095,0.764462808674
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,loss_flat_rnn_4x,400,0.86517098224,0.85456358277,0.875768690705
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,r_ood,400,1.09604944005,1.08759642467,1.10489737272
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,r_shuffle,400,1.01058271655,1.00903281743,1.01212298983
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,r_frozen,400,0.998739486157,0.997709673029,0.999766137354
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,srrd_vs_flat_rnn_4x,400,0.962336624617,0.950149589407,0.974742631525
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,psi_update,400,0.00104659642847,-0.00318900395221,0.00553648630759
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,abs_psi_update,400,0.0362224423244,0.0336669281929,0.038841713422
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,kappa_obs,400,0.000436081845195,-0.00137092159314,0.00220929465589
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,history_effect_sham,400,0.00114240172269,-0.00198337405993,0.00435558378068
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,history_effect_probe,400,0.00218899815116,-0.00099680884449,0.00535153262575
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,state_max_smd,400,0.010789156749,0.0104052741314,0.0111761578973
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,state_energy_distance,400,0.00312397361254,0.00310172085194,0.00314677983315
