scenario,scenario_label,step,rule_norm_ab,rule_norm_ba,target_norm_ab,target_norm_ba,history_axis_rule_ab,history_axis_rule_ba,history_axis_target_ab,history_axis_target_ba
aligned_positive,Aligned positive control,0,0.0,0.0,0.7907655273114984,2.4092344726885018,0.0,0.0,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,1,0.1580210007409617,0.48150883457815624,0.7907655273114984,2.4092344726885018,0.1580210007409617,0.48150883457815624,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,2,0.2843866965628039,0.8665448120279095,0.7907655273114984,2.4092344726885018,0.2843866965628039,0.8665448120279095,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,3,0.3854538552917404,1.1744844056075854,0.7907655273114984,2.4092344726885018,0.3854538552917404,1.1744844056075854,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,4,0.466299636933886,1.4208028273381081,0.7907655273114984,2.4092344726885018,0.466299636933886,1.4208028273381081,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,5,0.5309797957249924,1.6178614128700035,0.7907655273114984,2.4092344726885018,0.5309797957249924,1.6178614128700035,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,6,0.5827346575433754,1.7755357081229843,0.7907655273114984,2.4092344726885018,0.5827346575433754,1.7755357081229843,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,7,0.6241534606866256,1.9017165624155086,0.7907655273114984,2.4092344726885018,0.6241534606866256,1.9017165624155086,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,8,0.6573054963987878,2.002709966201517,0.7907655273114984,2.4092344726885018,0.6573054963987878,2.002709966201517,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,9,0.683844772163739,2.083556142828222,0.7907655273114984,2.4092344726885018,0.683844772163739,2.083556142828222,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,10,0.7050935561874562,2.14828423971063,0.7907655273114984,2.4092344726885018,0.7050935561874562,2.14828423971063,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,11,0.7221090745165303,2.200115647692461,0.7907655273114984,2.4092344726885018,0.7221090745165303,2.200115647692461,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,12,0.7357367662738175,2.2416263352845034,0.7907655273114984,2.4092344726885018,0.7357367662738175,2.2416263352845034,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,13,0.7466528124948567,2.2748764794312466,0.7907655273114984,2.4092344726885018,0.7466528124948567,2.2748764794312466,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,14,0.7553981041804204,2.301513997041555,0.7907655273114984,2.4092344726885018,0.7553981041804204,2.301513997041555,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,15,0.7624053769174074,2.322857244658144,0.7907655273114984,2.4092344726885018,0.7624053769174074,2.322857244658144,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,16,0.7680208900577125,2.3399610880323483,0.7907655273114984,2.4092344726885018,0.7680208900577125,2.3399610880323483,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,17,0.7725217499076765,2.3536696938487105,0.7907655273114984,2.4092344726885018,0.7725217499076765,2.3536696938487105,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,18,0.7761297542775845,2.3646587184873162,0.7907655273114984,2.4092344726885018,0.7761297542775845,2.3646587184873162,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,19,0.7790224586108496,2.373469028547472,0.7907655273114984,2.4092344726885018,0.7790224586108496,2.373469028547472,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,20,0.7813420226282016,2.3805336570318816,0.7907655273114984,2.4092344726885018,0.7813420226282016,2.3805336570318816,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,21,0.7832022837124143,2.3861993554213057,0.7907655273114984,2.4092344726885018,0.7832022837124143,2.3861993554213057,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,22,0.7846944133311957,2.3907438276827206,0.7907655273114984,2.4092344726885018,0.7846944133311957,2.3907438276827206,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,23,0.7858914410341312,2.3943895134682815,0.7907655273114984,2.4092344726885018,0.7858914410341312,2.3943895134682815,0.7907655273114984,2.4092344726885018
aligned_positive,Aligned positive control,24,0.7868518732856805,2.3973146131571905,0.7907655273114984,2.4092344726885018,0.7868518732856805,2.3973146131571905,0.7907655273114984,2.4092344726885018
flat_state_matched,State-matched flat-state baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat_state_matched,State-matched flat-state baseline,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frozen_rule,Frozen-rule ablation,0,0.0,0.0,0.7874343813611475,2.412565618638853,0.0,0.0,0.7874343813611475,2.412565618638853
frozen_rule,Frozen-rule ablation,1,0.0,0.0,0.7874343813611475,2.412565618638853,0.0,0.0,0.7874343813611475,2.412565618638853
frozen_rule,Frozen-rule ablation,2,0.0,0.0,0.7874343813611475,2.412565618638853,0.0,0.0,0.7874343813611475,2.412565618638853
frozen_rule,Frozen-rule ablation,3,0.0,0.0,0.7874343813611475,2.412565618638853,0.0,0.0,0.7874343813611475,2.412565618638853
frozen_rule,Frozen-rule ablation,4,0.0,0.0,0.7874343813611475,2.412565618638853,0.0,0.0,0.7874343813611475,2.412565618638853
frozen_rule,Frozen-rule ablation,5,0.0,0.0,0.7874343813611475,2.412565618638853,0.0,0.0,0.7874343813611475,2.412565618638853
frozen_rule,Frozen-rule ablation,6,0.0,0.0,0.7874343813611475,2.412565618638853,0.0,0.0,0.7874343813611475,2.412565618638853
frozen_rule,Frozen-rule ablation,7,0.0,0.0,0.7874343813611475,2.412565618638853,0.0,0.0,0.7874343813611475,2.412565618638853
frozen_rule,Frozen-rule ablation,8,0.0,0.0,0.7874343813611475,2.412565618638853,0.0,0.0,0.7874343813611475,2.412565618638853
frozen_rule,Frozen-rule ablation,9,0.0,0.0,0.7874343813611475,2.412565618638853,0.0,0.0,0.7874343813611475,2.412565618638853
frozen_rule,Frozen-rule ablation,10,0.0,0.0,0.7874343813611475,2.412565618638853,0.0,0.0,0.7874343813611475,2.412565618638853
